ID,f_name,Year,recordcount,HY,CJId,HaD,gltype,glname,latitude,longitude
88395,太仓市柯林固废处置有限公司,2016,6,环境卫生管理,48110,0,0,,31.546090,121.259210
135632,云南思茅山水铜业有限公司,2016,1,有色金属矿采选业,0,0,0,,22.781360,100.510810
138596,城步苗族自治县威溪铜矿有限责任公司,,0,有色金属矿采选业,0,0,0,,26.657819,110.682322
140596,四川国创兴路沥青材料有限公司,2016,3,原油加工及石油制品制造,0,0,0,,30.392352,103.919904
140718,宜宾天蓝化工有限责任公司,,0,专项化学用品制造,0,0,0,,28.840330,105.006550
143264,四川宝利沥青有限公司,,0,原油加工及石油制品制造,0,0,0,,28.937310,105.628340
146915,韶关棉土窝矿业有限公司,,0,其他采矿业,0,0,0,,25.061321,114.316155
149361,抚顺莱河矿业有限公司,,0,黑色金属矿采选业,0,0,0,,41.894050,124.699720
90126,风帆股份有限公司清苑分公司,,0,锂离子电池制造,2090,0,0,,38.741050,115.488360
90131,风帆股份有限公司工业电池分公司,2016,2,其他电池制造,2089,0,0,,39.030370,115.606330
90512,明光市长兴电源有限公司,2011,1,其他电池制造,17618,0,0,,32.799021,118.004487
90527,安徽亚兰德新能源材料股份有限公司,2017,4,通信系统设备制造,30206,0,0,,30.939167,117.480000
153099,哈药集团三精明水药业有限公司,,0,化学药品原料药制造,0,0,0,,47.198170,125.902060
90725,广州绿由工业弃置废物回收处理有限公司,2018,18,废弃资源综合利用业,15495,1,0,,22.749035,113.522819
156252,文山麻栗坡紫金钨业集团有限公司,,0,有色金属矿采选业,0,0,0,,22.967376,104.659387
90976,凯盛科技股份有限公司,2016,2,其他玻璃制品制造,30192,0,0,,32.897510,117.315030
91221,浙江东方华强纺织印染有限公司,2017,19,棉印染精加工,14199,0,0,,30.138293,120.525856
91227,浙江省普洛康裕生物制药有限公司,2018,6,医药制造业,14306,1,0,,29.286276,120.436515
158203,新疆汇祥永金矿业有限公司,,0,有色金属矿采选业,0,0,0,,39.722114,75.255162
91360,望江县大唐资源再生有限公司,2017,4,非金属废料和碎屑加工处理,30315,0,0,,30.344714,116.875030
160158,内蒙古华锦化工有限公司,,0,化学原料和化学制品制造业,0,0,0,,45.498221,116.974494
164511,湖北东江环保有限公司,,0,其他污染治理,0,0,0,,31.243770,114.030690
92188,合江县海东皮革制品有限公司,2012,2,皮革、毛皮、羽毛及其制品和制鞋业,19933,0,0,,28.643889,105.743520
169009,福建政和源鑫矿业有限公司,2018,5,有色金属矿采选业,0,0,0,,27.365166,118.852051
92459,日乃本五金塑料制品（上海）有限公司,2011,1,其他未列明金属制品制造,17664,1,0,,31.427194,121.194346
92782,扬州市景杨表面工程有限公司,2018,5,金属表面处理及热处理加工,57429,0,0,,32.647337,119.696150
173869,洛阳钼业集团金属材料有限公司,2018,1,钨钼冶炼,0,0,0,,34.592832,112.348056
95466,安徽永恒动力科技有限公司,2018,5,其他专用化学产品制造,20676,0,0,,30.759380,116.826940
95547,山西平阳重工机械有限责任公司,2016,2,专用设备制造业,27059,1,0,,35.610815,111.340803
97741,苏州和协表面处理有限公司,2018,10,金属表面处理及热处理加工,11161,1,0,,31.201099,120.675746
98629,青岛马士基集装箱工业有限公司,,0,集装箱制造,50990,0,0,,36.274703,120.359387
98696,邵阳市中星颜料厂,2017,3,涂料、油墨、颜料及类似产品制造,31609,0,0,,27.273643,111.497643
98836,湖南宇腾有色金属股份有限公司,2017,2,无机盐制造,17768,1,0,,25.689990,112.987920
98969,河北华澳矿业开发有限公司,2018,4,有色金属矿采选业,49207,0,0,,40.794241,114.877483
99377,尉氏县宏升金属材料有限公司,2018,4,其他日用杂品制造,12015,0,0,,34.316666,114.483333
1336096,延长油田股份有限公司宝塔采油厂,2018,5,石油和天然气开采业,0,0,0,,36.591266,109.493106
99554,防城天睦化工有限公司,2017,5,化学原料和化学制品制造业,24933,0,0,,21.706940,108.379000
99703,云南乘风有色金属股份有限公司,2018,8,金属制品业,13806,0,0,,23.382680,103.272600
99999,元阳县华西黄金有限公司,2012,2,有色金属矿采选业,21524,0,0,,22.874190,103.110040
100200,泉州科美厨卫科技有限公司,,0,金属表面处理及热处理加工,17040,0,0,,25.015496,118.354905
178741,会理铅锌股份有限公司,2017,1,,0,0,0,,27.101095,102.248000
178749,会理县金天艾沙铜业有限责任公司,2016,1,,0,0,0,,26.560566,102.207044
178868,吉化辽源化工有限责任公司,,0,有机化学原料制造,0,0,0,,42.887747,125.149448
101873,介休市国泰绿色能源有限公司,2019,1,垃圾焚烧发电,18385,0,0,,36.969558,111.924551
101970,江苏圣大中远电气有限公司,2016,4,电气机械和器材制造业,41435,1,0,,32.248195,119.779169
101981,宁波市北仑环保固废处置有限公司,,0,环境治理业,21837,1,0,,29.904150,122.118770
102203,江山市纪元电镀五金有限公司,2015,5,金属表面处理及热处理加工,29412,1,0,,28.804497,118.724810
102204,浙江华业塑料机械有限公司,2012,1,塑料加工专用设备制造,20270,0,0,,30.052730,121.848920
102206,浙江奇达皮业有限公司,2016,5,皮革鞣制加工,21714,1,0,,30.010980,120.305987
102224,江西中旺铜业有限公司,2011,2,常用有色金属冶炼,23752,1,0,,28.398462,117.579660
180500,灵丘县金辰矿产品有限责任公司,,0,其他未列明电气机械及器材制造,0,0,0,,39.395910,114.180900
102492,湖北楚凯冶金有限公司,2012,1,橡胶和塑料制品业,4592,0,0,,32.364280,111.680470
102499,襄阳普士利工程器材有限公司,2012,1,其他未列明电气机械及器材制造,66916,0,0,,32.123012,112.169474
103009,安吉巨水电镀有限公司,2015,8,金属表面处理及热处理加工,29091,1,0,,30.803220,119.652190
103675,山西太谷恒达煤气化有限公司,2018,20,煤炭加工,23826,0,0,,37.412058,112.580591
104597,灵丘县梨园金矿有限责任公司,2016,2,有色金属矿采选业,27068,0,0,,39.093700,114.320400
105478,海宁市新万年染整有限公司,2019,13,棉印染精加工,3773,1,0,,30.445376,120.670500
182732,山西省垣曲县五龙实业有限公司洛家河铜矿,2015,1,有色金属矿采选业,27096,0,0,,35.226111,112.022778
182749,山西鑫光工贸有限公司,,0,其他未列明电气机械及器材制造,0,0,0,,39.465740,114.216150
106923,华新水泥（河南信阳）有限公司,2011,1,水泥制造,23828,1,0,,31.914680,114.034240
107208,开封龙宇化工有限公司,2016,2,其他专用化学产品制造,6897,1,0,,34.599890,114.645460
107822,嘉禾县瑞祥工贸有限公司,2017,5,,17772,0,0,,25.690835,112.284313
109034,内蒙古黄河铬盐股份有限公司,2011,1,无机盐制造,8372,0,0,,40.329336,106.993214
109109,湖南新宏大钒业有限责任公司,2018,15,,4913,0,0,,28.171823,110.254352
109165,牡丹江首控石油化工有限公司,2018,3,精炼石油产品制造,8296,0,0,,44.618195,129.644170
109760,沅陵县长青鑫发钒业有限责任公司,2016,4,有色金属矿采选业,13765,0,0,,28.186470,110.348129
110129,平凉市福利制革厂,2017,5,皮革鞣制加工,9015,0,0,,35.498630,106.712930
110148,皋兰兰鑫钢铁有限公司,2018,8,钢压延加工,31578,0,0,,36.487010,103.924590
111904,河南超威电源有限公司,,0,其他电池制造,4194,1,0,,35.086980,112.798640
111924,新乡市华鑫能源材料股份有限公司,,0,无机盐制造,59637,0,0,,35.286654,114.077894
111991,邢台市振成机械有限公司,2018,2,机械零部件加工,48733,0,0,,37.054470,114.544090
112029,灵宝市博源矿业有限责任公司,2011,1,有色金属矿采选业,40789,0,0,,34.569932,110.613660
112043,平舆县惠成皮革有限公司,,0,皮手套及皮装饰制品制造,40808,0,0,,32.938094,114.645772
112136,深圳妈湾电力有限公司,,0,电力供应,10498,1,0,,22.475890,113.878470
112155,东方希望包头稀土铝业有限责任公司,2017,24,稀土金属冶炼,1738,1,0,,40.590940,109.807901
112160,中电投霍林河煤电集团铝业股份有限公司,2016,2,铝冶炼,67357,0,0,,45.531051,119.661126
112352,广西斯柳冶化有限责任公司,2018,12,有色金属冶炼和压延加工业,57907,0,0,,25.106975,109.350781
186114,云南昊龙实业集团火德红铅锌采选有限公司,,0,有色金属矿采选业,0,0,0,,27.066306,103.473689
112525,甘肃天水李子金矿有限公司,2013,1,有色金属冶炼和压延加工业,2587,0,0,,34.231270,105.895667
112530,天水华天科技股份有限公司,2013,1,智能无人飞行器制造,11715,1,0,,34.567585,105.673707
112761,陕西北元化工集团有限公司,2015,13,合成材料制造,10077,1,0,,38.740878,110.200830
112905,湖北启星化工有限公司,2016,2,化学原料和化学制品制造业,20156,1,0,,29.972288,111.624440
187381,广西来宾银海铝业有限责任公司,2013,1,有色金属矿采选业,0,0,0,,23.525393,108.950940
113230,上饶市嘉能蓄电池有限公司,2014,3,锂离子电池制造,23756,0,0,,28.533491,117.983245
1478250,浙江四方电子有限公司,2018,15,计算机、通信和其他电子设备制造业,50216,1,0,,28.613051,120.062597
113324,湖北新洋丰肥业股份有限公司,2016,3,其他肥料制造,4716,1,0,,31.244660,112.228430
114230,攀钢集团西昌钢钒有限公司,2017,10,有色金属冶炼和压延加工业,8900,0,0,,27.745810,102.199160
1480731,海南润禾农药有限公司,,0,化学农药制造,69848,0,0,,19.998546,110.276125
115609,嘉鱼县高强锰业有限公司,,0,黑色金属矿采选业,5863,0,0,,29.875433,113.836400
196419,南阳市理邦制药有限公司,2014,1,兽用药品制造,0,0,0,,32.765440,112.523899
1481406,漯河市新旺化工有限公司,,0,化学原料和化学制品制造业,60135,1,0,,33.690640,113.791620
1481435,福建益灿五金工贸有限公司,,0,其他未列明制造业,53737,0,0,,24.480140,117.476525
117501,江西铜业股份有限公司永平铜矿,2015,6,有色金属矿采选业,6455,1,0,,28.225788,117.750928
117654,崇义章源钨业股份有限公司,2013,3,钨钼冶炼,1201,1,0,,25.708228,114.303122
117661,江西大吉山钨业有限公司,2011,1,其他开采专业及辅助性活动,52763,0,0,,24.599570,114.369780
201833,漳州市常兴鸿工贸有限公司,2015,3,专用化学产品制造,0,0,0,,23.874970,117.383000
1481628,沁阳市神牛皮革制品厂,2019,1,皮革鞣制加工,59913,1,0,,35.137640,112.844304
117943,骆驼集团华中蓄电池有限公司,,0,电池制造,20125,1,0,,32.273519,111.579715
203092,长春市宏宇有色金属工业有限公司,2014,1,有色金属冶炼和压延加工业,0,0,0,,44.010455,125.228366
118089,临武县环鑫有色金属加工开发有限公司,2017,3,有色金属矿采选业,7482,0,0,,25.348297,112.612987
118336,新疆银鹰工贸有限公司,2017,8,木竹浆制造,12861,1,0,,44.637223,85.898194
118623,邢台金丰球铁科技有限公司,2016,7,炼铁,13018,0,0,,36.950123,114.358866
119045,希杰（沈阳）生物科技有限公司,2018,5,淀粉及淀粉制品制造,12554,1,0,,41.933363,123.562099
119728,河北峰煤焦化有限公司,2018,24,煤炭加工,23838,1,0,,36.550450,114.106540
209876,淮安鑫友金属制品有限公司,2017,10,金属制品业,0,0,0,,33.320638,118.876646
210020,自贡市华康金属表面处理有限公司,2015,3,金属表面处理及热处理加工,0,0,0,,29.313392,104.739490
210443,岳阳市云溪区道仁矶溶剂化工厂,2016,3,其他合成材料制造,0,0,0,,29.502914,113.262267
ID,f_name,Year,recordcount,HY,CJId,HaD,gltype,glname,latitude,longitude
11698298,九江标新纤维有限公司,2019,4,纺织业,6821,1,0,,29.946887,116.603111
11709336,山东荣信集团有限公司,2017,4,石油、煤炭及其他燃料加工业,26499,1,0,,35.329047,116.819093
11715026,旭派电源有限公司,2011,1,电池制造,31542,0,0,,34.098814,118.376314
11207087,山东国大黄金股份有限公司,2018,10,金冶炼,23334,1,0,,37.412543,120.404438
11680488,保定市徐水区宏达盛通铅制品有限责任公司,2018,3,其他未列明金属制品制造,0,0,0,,38.956646,115.626181
11137511,安新县硕兴有色金属熔炼有限公司,2011,1,金属制品业,229,0,0,,38.881130,115.902970
11199705,山东斯道拉恩索华泰纸业有限公司,2018,4,造纸和纸制品业,23393,0,0,,36.995097,118.495903
11637795,海南矿业股份有限公司,2016,5,采矿业,34197,1,0,,19.245790,109.051760
11674451,玛曲县黄金冶炼厂,2016,1,金冶炼,8065,0,0,,33.989910,102.071784
11681583,陕西有色榆林新材料有限责任公司,2019,36,烟煤和无烟煤开采洗选,16744,1,0,,38.524159,109.881570
11697738,重庆鸿腾科技有限公司,,0,计算机、通信和其他电子设备制造业,44356,0,0,,29.508778,106.453365
11701172,无棣鑫岳化工集团有限公司,2018,15,化学原料和化学制品制造业,12191,1,0,,37.735980,117.608610
11701382,济南市云水腾跃环保科技有限公司,2018,2,,50965,0,0,,37.219350,117.381592
11707386,宁波安基管业有限公司,2012,5,钢压延加工,24835,0,0,,30.318100,121.270210
11712390,浙江德创企业管理有限公司,2016,9,皮革制品制造,25836,1,0,,30.737760,120.889360
760996,山东泰和水处理科技股份有限公司,,0,专用化学产品制造,68534,1,0,,34.806360,117.608870
1145188,徐州泰发特钢科技有限公司,2019,24,炼钢,31545,1,0,,34.448450,117.281590
3530462,常州龙澄污水处理有限公司,,0,水污染治理,958,1,0,,31.779302,120.018311
11200734,江西铜业集团东同矿业有限责任公司,2011,1,采矿业,6456,0,0,,28.271944,116.473056
11202478,宝鸡众喜凤凰山水泥有限公司,2019,2,石膏、水泥制品及类似制品制造,41586,1,0,,34.469020,107.774650
11205936,内蒙古亿利化学工业有限公司,2015,1,化学原料和化学制品制造业,23875,1,0,,40.365648,109.984712
11206100,嘉兴石化有限公司,2018,3,石油、煤炭及其他燃料加工业,5828,1,0,,30.607840,121.062730
11637663,攀钢集团西昌钢钒有限公司,2017,10,有色金属冶炼和压延加工业,8899,0,0,,27.740707,102.207435
11637836,哈尔滨市双琦环保资源利用有限公司,2018,6,垃圾焚烧发电,40858,0,0,,46.368536,127.641853
11698418,遂宁市宏成电源科技有限公司,2018,4,电池制造,11268,0,0,,30.591887,105.297297
11706044,肇庆市新荣昌环保股份有限公司,2013,1,金属废料和碎屑加工处理,15951,1,0,,22.937394,112.350724
11707561,罗盖特（中国）营养食品有限公司,2018,9,化学原料和化学制品制造业,7970,1,0,,34.648046,119.204063
11707571,江苏镔鑫钢铁集团有限公司,2019,21,黑色金属冶炼和压延加工业,6141,1,0,,35.110376,119.284549
